Operation,Set,DataFile,Duration(us),Error
insert,set1,data_1.txt,29751,
search,set1,data_1.txt,92,
delete,set1,data_1.txt,100,
insert,set1,data_2.txt,62178,
search,set1,data_2.txt,43,
delete,set1,data_2.txt,46,
insert,set1,data_3.txt,169512,
search,set1,data_3.txt,42,
delete,set1,data_3.txt,52,
insert,set2,data_1.txt,18639,
search,set2,data_1.txt,118,
delete,set2,data_1.txt,67,
insert,set2,data_2.txt,19534,
search,set2,data_2.txt,17,
delete,set2,data_2.txt,13,
insert,set2,data_3.txt,23978,
search,set2,data_3.txt,4,
delete,set2,data_3.txt,5,
