Operation,Set,DataFile,Duration(us),Error
insert,set1,data_1.txt,39622,
search,set1,data_1.txt,78,
delete,set1,data_1.txt,110,
insert,set1,data_2.txt,61591,
search,set1,data_2.txt,46,
delete,set1,data_2.txt,142,
insert,set1,data_3.txt,153899,
search,set1,data_3.txt,59,
delete,set1,data_3.txt,55,
insert,set2,data_1.txt,1085094,StackOverflowError
search,set2,data_1.txt,1478,StackOverflowError
delete,set2,data_1.txt,1095,StackOverflowError
insert,set2,data_2.txt,1002485,StackOverflowError
search,set2,data_2.txt,1328,StackOverflowError
delete,set2,data_2.txt,1004,StackOverflowError
insert,set2,data_3.txt,976728,StackOverflowError
search,set2,data_3.txt,1480,StackOverflowError
delete,set2,data_3.txt,1802,StackOverflowError
