Operation,Set,DataFile,Duration(us),Error
insert,set1,data_1.txt,45710,
search,set1,data_1.txt,77,
delete,set1,data_1.txt,163,
insert,set1,data_2.txt,85587,
search,set1,data_2.txt,18,
delete,set1,data_2.txt,104,
insert,set1,data_3.txt,198367,
search,set1,data_3.txt,50,
delete,set1,data_3.txt,122,
insert,set2,data_1.txt,10801,
search,set2,data_1.txt,12,
delete,set2,data_1.txt,82,
insert,set2,data_2.txt,42470,
search,set2,data_2.txt,8,
delete,set2,data_2.txt,38,
insert,set2,data_3.txt,53470,
search,set2,data_3.txt,12,
delete,set2,data_3.txt,44,
