Operation,Set,DataFile,Duration(us),Error
insert,set1,data_1.txt,38426,
search,set1,data_1.txt,38,
delete,set1,data_1.txt,48,
insert,set1,data_2.txt,105078,
search,set1,data_2.txt,9,
delete,set1,data_2.txt,10,
insert,set1,data_3.txt,259208,
search,set1,data_3.txt,35,
delete,set1,data_3.txt,30,
insert,set2,data_1.txt,2188,
search,set2,data_1.txt,5,
delete,set2,data_1.txt,5,
insert,set2,data_2.txt,4267,
search,set2,data_2.txt,6,
delete,set2,data_2.txt,4,
insert,set2,data_3.txt,6137,
search,set2,data_3.txt,15,
delete,set2,data_3.txt,6,
